               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.060079,             0.01367,           0.0065475,             0.79492,             0.82378,             0.88251,             0.52909,            0.053482,           0.0085697,           0.0056616,              0.0176,              0.0176,              0.0176
                  38,            0.057233,             0.01311,           0.0061444,             0.89073,             0.81762,             0.88913,              0.5753,            0.054281,            0.008152,           0.0054358,              0.0167,              0.0167,              0.0167
                  39,            0.056831,            0.013325,           0.0061429,             0.86866,             0.84272,             0.90788,             0.52273,             0.05823,           0.0073624,           0.0047937,              0.0158,              0.0158,              0.0158
                  40,            0.055549,            0.012253,           0.0057572,             0.88141,             0.92108,              0.9147,             0.64736,             0.04931,           0.0064821,           0.0047729,              0.0149,              0.0149,              0.0149
                  41,            0.053593,            0.012643,           0.0053399,             0.86994,             0.90638,              0.9161,             0.57186,            0.049386,           0.0061884,           0.0045624,               0.014,               0.014,               0.014
                  42,            0.050828,            0.012107,           0.0054169,             0.93103,              0.9079,              0.9218,             0.70309,            0.043416,           0.0057993,           0.0044739,              0.0131,              0.0131,              0.0131
                  43,            0.048742,            0.011254,           0.0050433,             0.95352,             0.86844,             0.90459,             0.63959,            0.045917,           0.0056477,           0.0043103,              0.0122,              0.0122,              0.0122
                  44,            0.048017,            0.011858,           0.0048665,             0.94256,             0.87888,              0.8985,             0.66376,            0.042007,           0.0055161,           0.0042859,              0.0113,              0.0113,              0.0113
                  45,            0.047093,            0.011162,            0.004874,             0.96823,              0.8816,             0.89555,             0.66308,             0.04224,           0.0054731,           0.0040875,              0.0104,              0.0104,              0.0104
                  46,             0.04511,            0.011201,           0.0046872,             0.95202,             0.86844,             0.89772,             0.67358,            0.039029,           0.0052042,           0.0039386,              0.0095,              0.0095,              0.0095
                  47,            0.043982,            0.011503,           0.0047111,             0.95486,              0.8816,              0.8982,             0.67399,            0.040981,           0.0051432,           0.0038824,              0.0086,              0.0086,              0.0086
                  48,             0.04211,            0.010736,           0.0042968,             0.96693,              0.8908,             0.91304,              0.6903,             0.03822,           0.0049982,           0.0036511,              0.0077,              0.0077,              0.0077
                  49,            0.040366,            0.010691,           0.0040083,             0.97149,             0.89476,             0.91563,             0.70788,            0.037577,           0.0049295,           0.0033966,              0.0068,              0.0068,              0.0068
