               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.062001,            0.077062,            0.042568,             0.35748,             0.22856,             0.19731,             0.10015,            0.059733,            0.056805,            0.038063,            0.008812,            0.008812,            0.008812
                  38,            0.061997,            0.077612,            0.042471,             0.36905,             0.23299,             0.20511,             0.10375,            0.059568,            0.056676,            0.038065,            0.008779,            0.008779,            0.008779
                  39,            0.061686,            0.077199,            0.041981,             0.36903,             0.23357,             0.20291,             0.10275,            0.059605,            0.056833,            0.038358,            0.008746,            0.008746,            0.008746
                  40,            0.061667,            0.076952,            0.041604,              0.3851,             0.23355,             0.21055,             0.10665,            0.059225,            0.056585,             0.03756,            0.008713,            0.008713,            0.008713
                  41,            0.061699,            0.077251,            0.041734,             0.37375,             0.23421,             0.20766,             0.10544,            0.059256,            0.056583,            0.037453,             0.00868,             0.00868,             0.00868
                  42,            0.061528,             0.07631,            0.041561,             0.37929,             0.23826,             0.21308,             0.10871,             0.05916,            0.056595,            0.036956,            0.008647,            0.008647,            0.008647
                  43,            0.061498,            0.077377,             0.04122,             0.38629,             0.24422,             0.21635,              0.1102,            0.058922,            0.056441,            0.036572,            0.008614,            0.008614,            0.008614
                  44,             0.06128,            0.076243,            0.040923,             0.39461,             0.24329,              0.2212,             0.11299,            0.058841,            0.056282,            0.036373,            0.008581,            0.008581,            0.008581
                  45,             0.06121,            0.076835,            0.040709,             0.37624,             0.24984,              0.2247,             0.11637,            0.058751,            0.056205,            0.036265,            0.008548,            0.008548,            0.008548
                  46,            0.061237,            0.076327,             0.04066,             0.38574,             0.24645,             0.22609,             0.11636,            0.058585,            0.056274,            0.036005,            0.008515,            0.008515,            0.008515
